#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,E1_score,E2_score,E3_score,E4_score,E5_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.9.5,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,56,False,True,82,54,28
GS.10.4,No,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,False,True,83,55,28
GS.7.9,No,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,False,True,84,56,28
L0_iii.7.2,Yes,Contextual misfit,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,True,False,85,56,29
L2.10.2,Yes,Template drift,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,56,True,False,86,56,30
L0_ii.6.2,Yes,Template drift,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,True,False,87,56,31
GS.2.2,No,,H.2.2,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,False,True,88,57,31
L2.3.2,Yes,Template drift,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,56,True,False,89,57,32
L0_ii.2.3,Yes,Scope misalignment,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,True,False,90,57,33
L2.1.2,Yes,Scope misalignment,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,56,True,False,91,57,34
L0_ii.7.2,Yes,Template drift,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,True,False,92,57,35
GS.4.14,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,56,False,True,93,58,35
GS.5.4,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,56,False,True,94,59,35
GS.4.9,No,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,False,True,95,60,35
G0_iv.4.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,96,60,36
