#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,bayes_posterior,E1_score,E2_score,E3_score,E4_score,E5_score,BAYES_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.5.2,No,,H.5.2,P,P,P,P,,,X,X,X,X,X,,,,,,,,X,X,X,X,,X,,"0,89","0,89","0,89","0,89",,,"0,76","0,76","0,76","0,76","0,75",,,,,,,,"0,85","0,85","0,85","0,85",,"0,74",,"0,89","0,89","0,89","0,89",,,"0,74","0,74","0,74","0,74","0,75",,,,,,,,"0,84","0,84","0,84","0,84",,"0,74",,"0,78","0,78","0,78","0,78",,,"0,49","0,49","0,49","0,49","0,75",,,,,,,,"0,68","0,68","0,68","0,68",,"0,74",,14.0,"11,49","6,551","11,37","9,26",0.9999999998204068,11.49,14.0,6.551,11.37,9.26,0.9999999998204068,2,False,True,11,11,0
GS.7.2,No,,H.7.2,,X,X,X,X,X,,,,,,X,P,,,P,P,P,X,X,X,X,,,,,"0,89","0,89","0,89","0,80","0,89",,,,,,"0,72","0,66",,,"0,66","0,75","0,61","0,85","0,85","0,85","0,85",,,,,"0,89","0,89","0,89","0,80","0,89",,,,,,"0,72","0,65",,,"0,65","0,75","0,61","0,84","0,84","0,84","0,84",,,,,"0,78","0,78","0,78","0,80","0,89",,,,,,"0,72","0,49",,,"0,49","0,75","0,61","0,68","0,68","0,68","0,68",,,,14.0,"11,17","8,186","11,11","9,78",0.9999999994757438,11.17,14.0,8.186,11.11,9.78,0.9999999994757438,3,False,True,12,12,0
GS.10.2,No,,H.10.2,X,P,X,X,X,,,,,,,X,X,X,X,,,X,P,P,P,P,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,"0,72","0,66","0,66","0,66",,,"0,61","0,85","0,85","0,85","0,85",,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,"0,72","0,65","0,65","0,65",,,"0,61","0,84","0,84","0,84","0,84",,,,"0,78","0,78","0,78","0,78","0,80",,,,,,,"0,72","0,49","0,49","0,49",,,"0,61","0,68","0,68","0,68","0,68",,,,14.0,"11,07","6,929","11,01","9,41",0.9999999994757438,11.07,14.0,6.929,11.01,9.41,0.9999999994757438,3,False,True,13,13,0
GS.4.5,No,,H.4.5,X,X,X,P,X,X,X,,P,P,,P,,,,,P,P,,,,,X,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76",,"0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74",,"0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49",,"0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,13.0,"10,20","5,829","10,14","8,95",0.9999999992023554,10.2,13.0,5.829,10.14,8.95,0.9999999992023554,4,False,True,14,14,0
GS.4.1,No,,H.4.1,X,X,X,P,X,X,X,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,13.0,"10,36","5,419","10,28","8,84",0.9999999989713046,10.36,13.0,5.419,10.28,8.84,0.9999999989713046,5,False,True,15,15,0
GS.4.3,No,,H.4.3,X,X,X,P,,X,P,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,12.0,"9,56","4,619","9,48","8,04",0.9999999828626899,9.56,12.0,4.619,9.48,8.04,0.9999999828626899,6,False,True,16,16,0
GS.4.2,No,,H.4.2,X,X,X,P,X,X,,P,P,P,,,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,76","0,76","0,76",,,,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,74","0,74","0,74",,,,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,"0,49","0,49","0,49",,,,,,,"0,75","0,61",,,,,,,,11.0,"8,87","4,505","8,82","7,63",0.9999999683150455,8.87,11.0,4.505,8.82,7.63,0.9999999683150455,7,False,True,17,17,0
GS.10.1,No,,H.10.1,,,,,X,P,,X,X,X,,,X,X,X,X,X,X,,X,,X,,X,,,,,,"0,80","0,89",,"0,76","0,76","0,76",,,"0,66","0,66","0,66","0,66","0,75","0,61",,"0,85",,"0,85",,"0,74",,,,,,"0,80","0,89",,"0,74","0,74","0,74",,,"0,65","0,65","0,65","0,65","0,75","0,61",,"0,84",,"0,84",,"0,74",,,,,,"0,80","0,89",,"0,49","0,49","0,49",,,"0,49","0,49","0,49","0,49","0,75","0,61",,"0,68",,"0,68",,"0,74",,14.0,"10,40","6,722","10,31","8,57",0.9999999523337639,10.4,14.0,6.722,10.31,8.57,0.9999999523337639,8,False,True,18,18,0
GS.10.3,No,,H.10.3,X,,,X,,X,X,,,,X,X,P,P,,,,,X,,,X,X,X,,"0,89",,,"0,89",,"0,89","0,76",,,,"0,75","0,72","0,66","0,66",,,,,"0,85",,,"0,85","0,60","0,74",,"0,89",,,"0,89",,"0,89","0,74",,,,"0,75","0,72","0,65","0,65",,,,,"0,84",,,"0,84","0,60","0,74",,"0,78",,,"0,78",,"0,89","0,49",,,,"0,75","0,72","0,49","0,49",,,,,"0,68",,,"0,68","0,60","0,74",,12.0,"9,26","6,375","9,21","8,08",0.9999999441811427,9.26,12.0,6.375,9.21,8.08,0.9999999441811427,9,False,True,19,19,0
GS.7.3,No,,H.7.3,,,X,X,,X,X,X,X,X,,,,,,,X,,X,,X,X,,,,,,"0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,,,,,,"0,75",,"0,85",,"0,85","0,85",,,,,,"0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,,,,,,"0,75",,"0,84",,"0,84","0,84",,,,,,"0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,,,,,,"0,75",,"0,68",,"0,68","0,68",,,,11.0,"9,02","5,409","8,91","7,19",0.9999997525406443,9.02,11.0,5.409,8.91,7.19,0.9999997525406443,10,False,True,20,20,0
