#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,bayes_posterior,E1_score,E2_score,E3_score,E4_score,E5_score,BAYES_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
M0.2.4; M0_iii.2.5,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,44,True,False,90,61,29
M0_ii.3.2; M0_iv.3.2,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,44,True,False,91,61,30
M1.10.3; M2.10.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",0.008563079142997861,1.36,2.0,1.356,1.36,1.36,0.008563079142997861,44,True,False,92,61,31
M1.10.4; M2.10.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",0.008563079142997861,1.36,2.0,1.356,1.36,1.36,0.008563079142997861,44,True,False,93,61,32
M1.10.5; M2.10.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",0.008563079142997861,1.36,2.0,1.356,1.36,1.36,0.008563079142997861,44,True,False,94,61,33
M0.2.2; M0_ii.2.3; M2.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,44,True,False,95,61,34
M0_ii.8.2; M0_iii.8.1,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,44,True,False,96,61,35
M0_ii.8.5; M1.8.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75",,,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75",,,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75",,,,,,,,,2.0,"1,41","0,915","1,40","1,24",0.008563079142997861,1.41,2.0,0.915,1.4,1.24,0.008563079142997861,44,True,False,97,61,36
GS.5.5,No,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,66",,,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,65",,,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,44,False,True,98,62,36
M0.5.3; M0_iii.5.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,44,True,False,99,62,37
G0_iv.5.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,100,62,38
G1.5.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,101,62,39
G0.6.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,102,62,40
G2.9.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,1.0,"0,74","0,737","0,74","0,74",0.005204341428479724,0.74,1.0,0.737,0.74,0.74,0.005204341428479724,45,True,False,103,62,41
G2.10.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,1.0,"0,74","0,737","0,74","0,74",0.005204341428479724,0.74,1.0,0.737,0.74,0.74,0.005204341428479724,45,True,False,104,62,42
G1.10.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,105,62,43
G0_iv.10.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,106,62,44
G0.4.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,107,62,45
G0.4.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,108,62,46
G1.4.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,109,62,47
G1.4.2,Yes,Contextual misfit,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,110,62,48
G0_iv.4.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,111,62,49
G1.10.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,112,62,50
G0_iii.10.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,113,62,51
G0.2.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,114,62,52
G0_iii.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,115,62,53
G0_iii.3.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,116,62,54
G1.3.4,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,117,62,55
G0_iv.3.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,118,62,56
G0_iv.5.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.005204341428479724,0.85,1.0,0.855,0.84,0.68,0.005204341428479724,45,True,False,119,62,57
G1.10.1,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,120,62,58
G1.9.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,,,,,,,,,,,,,,,,,,,,,,,"0,60",,,1.0,"0,60","0,600","0,60","0,60",0.005204341428479724,0.6,1.0,0.6,0.6,0.6,0.005204341428479724,45,True,False,121,62,59
GS.1.2,No,,H.1.2,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,False,True,122,63,59
Q0.3.9,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,123,63,60
Q1.10.3,Yes,Template drift,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.004040145799861532,0.75,1.0,0.75,0.75,0.75,0.004040145799861532,46,True,False,124,63,61
Q2.10.5,Yes,Template drift,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,46,True,False,125,63,62
Q0_iii.10.2,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,126,63,63
Q2.10.4,Yes,Template drift,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,46,True,False,127,63,64
Q0.10.5,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,128,63,65
Q0.10.3,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,129,63,66
Q2.9.6,Yes,Architectural infeasibility,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,46,True,False,130,63,67
Q0.9.4,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,131,63,68
Q0.10.2,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,132,63,69
GS.10.8,No,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,46,False,True,133,64,69
Q0_ii.9.4,Yes,Template drift,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,134,64,70
Q0.10.6,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,135,64,71
Q0_iii.3.5,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,136,64,72
Q0_iii.3.6,Yes,Architectural infeasibility,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,137,64,73
Q0.3.8,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,138,64,74
Q1.3.6,Yes,Scope misalignment,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.004040145799861532,0.75,1.0,0.75,0.75,0.75,0.004040145799861532,46,True,False,139,64,75
Q0_ii.3.3,Yes,Contextual misfit,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,140,64,76
Q0_iii.3.4,Yes,Template drift,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,141,64,77
Q0.3.7,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,142,64,78
Q0.3.2,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,143,64,79
Q0.4.2,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,144,64,80
Q0.4.7,Yes,Contextual misfit,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,145,64,81
Q0.4.11,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,146,64,82
Q0.10.7,Yes,Template drift,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,147,64,83
GS.9.7,No,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,46,False,True,148,65,83
Q2.9.2,Yes,Architectural infeasibility,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,"0,72",,,,,,,,,,,,,,1.0,"0,72","0,724","0,72","0,72",0.004040145799861532,0.72,1.0,0.724,0.72,0.72,0.004040145799861532,46,True,False,149,65,84
Q0_iii.4.3,Yes,Scope misalignment,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,150,65,85
Q0_ii.4.2,Yes,Template drift,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,151,65,86
Q0_iii.4.4,Yes,Contextual misfit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,46,True,False,152,65,87
