#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Optimal numeric
"M0_ii.8.3; M1.8.2; M2.8.3";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;0,66;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,65;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,49;;;0,75;0,61;;;;;;;;3;2,01;1,521;2,01;1,85;0,075937
"M0_ii.8.4; M1.8.3; M2.8.4";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;0,66;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,65;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,49;;;0,75;0,61;;;;;;;;3;2,01;1,521;2,01;1,85;0,075937
"M0_ii.8.5; M1.8.4";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,66;;;0,75;;;;;;;;;;;;;;;;;;;;;;0,65;;;0,75;;;;;;;;;;;;;;;;;;;;;;0,49;;;0,75;;;;;;;;;2;1,41;0,915;1,40;1,24;0,049628
M0_iii.8.3;Yes;Template drift;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,019326
M0_iv.8.1;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,030559
M0_iv.8.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,030559
M2.8.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;1;0,61;0,606;0,61;0,61;0,026309
M2.8.5;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;1;0,61;0,606;0,61;0,61;0,026309
GS.9.1;No;;H.9.1;X;X;X;X;X;X;X;X;X;X;P;;X;X;P;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;23;17,77;10,858;17,63;14,87;0,963206
GS.9.2;No;;H.9.2;X;X;X;X;;;X;;;;;;P;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;0,76;;;;;;0,66;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;0,74;;;;;;0,65;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;0,49;;;;;;0,49;;;;;;;;;;;;;6;4,96;1,241;4,94;4,09;0,350026
GS.9.3;No;;H.9.3;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;23;17,60;10,690;17,46;14,70;0,945609
GS.9.4;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;0,272700
GS.9.5;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,054391
GS.9.6;No;;;;;;;;;;;;;;X;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;0,72;;;;;;0,61;0,85;0,85;0,85;0,85;;;;;;;;;;;;;;;0,72;;;;;;0,61;0,84;0,84;0,84;0,84;;;;;;;;;;;;;;;0,72;;;;;;0,61;0,68;0,68;0,68;0,68;;;;6;4,75;4,749;4,70;4,03;0,228389
GS.9.7;No;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,036794
GS.9.8;No;;;;X;X;;;;;;;;;;;;;;;;X;;;;;;;;0,89;0,89;;;;;;;;;;;;;;;;0,85;;;;;;;;0,89;0,89;;;;;;;;;;;;;;;;0,84;;;;;;;;0,78;0,78;;;;;;;;;;;;;;;;0,68;;;;;;;3;2,63;1,298;2,62;2,23;0,166033
Q0.9.4;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0_ii.9.4;Yes;Template drift;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,046404
Q2.9.2;Yes;Architectural infeasibility;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,036794
Q2.9.6;Yes;Architectural infeasibility;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,036794
G1.9.3;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
G2.9.4;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;1;0,74;0,737;0,74;0,74;0,026693
GS.10.1;No;;H.10.1;;;;;X;P;;X;X;X;;;X;X;X;X;X;X;;X;;X;;X;;;;;;0,80;0,89;;0,76;0,76;0,76;;;0,66;0,66;0,66;0,66;0,75;0,61;;0,85;;0,85;;0,74;;;;;;0,80;0,89;;0,74;0,74;0,74;;;0,65;0,65;0,65;0,65;0,75;0,61;;0,84;;0,84;;0,74;;;;;;0,80;0,89;;0,49;0,49;0,49;;;0,49;0,49;0,49;0,49;0,75;0,61;;0,68;;0,68;;0,74;;14;10,40;6,722;10,31;8,57;0,526992
GS.10.2;No;;H.10.2;X;P;X;X;X;;;;;;;X;X;X;X;;;X;P;P;P;P;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;0,72;0,66;0,66;0,66;;;0,61;0,85;0,85;0,85;0,85;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;0,72;0,65;0,65;0,65;;;0,61;0,84;0,84;0,84;0,84;;;;0,78;0,78;0,78;0,78;0,80;;;;;;;0,72;0,49;0,49;0,49;;;0,61;0,68;0,68;0,68;0,68;;;;14;11,07;6,929;11,01;9,41;0,625181
GS.10.3;No;;H.10.3;X;;;X;;X;X;;;;X;X;P;P;;;;;X;;;X;X;X;;0,89;;;0,89;;0,89;0,76;;;;0,75;0,72;0,66;0,66;;;;;0,85;;;0,85;0,60;0,74;;0,89;;;0,89;;0,89;0,74;;;;0,75;0,72;0,65;0,65;;;;;0,84;;;0,84;0,60;0,74;;0,78;;;0,78;;0,89;0,49;;;;0,75;0,72;0,49;0,49;;;;;0,68;;;0,68;0,60;0,74;;12;9,26;6,375;9,21;8,08;0,484838
GS.10.4;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,082088
GS.10.5;No;;;;X;X;X;;X;;;;;X;;;;;;;;X;X;X;X;;;;;0,89;0,89;0,89;;0,89;;;;;0,75;;;;;;;;0,85;0,85;0,85;0,85;;;;;0,89;0,89;0,89;;0,89;;;;;0,75;;;;;;;;0,84;0,84;0,84;0,84;;;;;0,78;0,78;0,78;;0,89;;;;;0,75;;;;;;;;0,68;0,68;0,68;0,68;;;;9;7,72;5,727;7,67;6,67;0,437730
GS.10.6;No;;;;;X;;;X;;;;;;;X;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;0,66;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;0,65;;;;;;;;;;;;;;;0,78;;;0,89;;;;;;;0,49;;;;;;;;;;;;;3;2,44;1,279;2,43;2,16;0,165286
GS.10.7;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,054391
GS.10.8;No;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,036794
GS.10.9;No;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,044781
GS.10.10;No;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,044781
GS.10.11;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;0,272700
"L0_iv.10.4; G0.10.1; G0_iii.10.3; G0_iv.10.2; G2.10.1";Yes;Architectural infeasibility;;;;;X;;;;;;;;;;;;;;;X;;X;X;;X;;;;;0,89;;;;;;;;;;;;;;;0,85;;0,85;0,85;;0,74;;;;;0,89;;;;;;;;;;;;;;;0,84;;0,84;0,84;;0,74;;;;;0,78;;;;;;;;;;;;;;;0,68;;0,68;0,68;;0,74;;5;4,19;3,523;4,15;3,54;0,215554
L0_iv.10.5;Yes;Template drift;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,066242
L1.10.2;Yes;Template drift;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;1;0,80;0,800;0,80;0,80;0,048774
L2.10.2;Yes;Template drift;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,054391
Q0.10.2;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.10.3;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
"Q0.10.4; Q1.10.4";Yes;Template drift;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;0,76;;;;0,75;;;;;;;;;;;;;;;;;;;;;0,74;;;;0,75;;;;;;;;;;;;;;;;;;;;;0,49;;;;0,75;;;;;;;;;;;;;;;2;1,51;0,940;1,49;1,24;0,059986
Q0.10.5;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.10.6;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.10.7;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
"Q0_ii.10.4; Q0_iii.10.3";Yes;Template drift;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,76;0,76;;;;;;;;;;;;;;;;;;;;;;;;0,74;0,74;;;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;;;;;;;;;;;;;;;;;2;1,52;0,379;1,48;0,98;0,085440
Q0_iii.10.2;Yes;Contextual misfit;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,039036
Q1.10.3;Yes;Template drift;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;1;0,75;0,750;0,75;0,75;0,027441
Q2.10.4;Yes;Template drift;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,036794
Q2.10.5;Yes;Template drift;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,036794
M1.10.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;1;0,75;0,750;0,75;0,75;0,038417
"M1.10.3; M2.10.2";Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;2;1,36;1,356;1,36;1,36;0,064726
"M1.10.4; M2.10.3";Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;2;1,36;1,356;1,36;1,36;0,064726
"M1.10.5; M2.10.4";Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;;;;0,75;0,61;;;;;;;;2;1,36;1,356;1,36;1,36;0,064726
M2.10.5;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;1;0,61;0,606;0,61;0,61;0,026309
G0_iii.10.1;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;1;0,85;0,855;0,84;0,68;0,040916
G0_iv.10.4;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;1;0,85;0,855;0,84;0,68;0,040040
G1.10.1;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
G1.10.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
G1.10.3;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
G2.10.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;1;0,74;0,737;0,74;0,74;0,026693
