#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Optimal numeric
Q0_iii.3.5;Yes;Contextual misfit;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,039036
Q0_iii.3.6;Yes;Architectural infeasibility;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,039036
Q1.3.6;Yes;Scope misalignment;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;1;0,75;0,750;0,75;0,75;0,027441
M0.3.4;Yes;Template drift;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,044781
"M0_ii.3.2; M0_iv.3.2";Yes;Scope misalignment;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;2;1,32;0,329;1,31;0,98;0,041770
"M0_ii.3.3; M0_iv.3.3";Yes;Scope misalignment;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;2;1,32;0,329;1,31;0,98;0,041770
G0_iii.3.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;1;0,85;0,855;0,84;0,68;0,040916
G0_iv.3.3;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;1;0,85;0,855;0,84;0,68;0,040040
G1.3.4;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
"G1.3.5; G2.3.5";Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,60;0,74;;;;;;;;;;;;;;;;;;;;;;;;0,60;0,74;;;;;;;;;;;;;;;;;;;;;;;;0,60;0,74;;2;1,34;1,337;1,34;1,34;0,047642
GS.4.1;No;;H.4.1;X;X;X;P;X;X;X;P;P;P;;P;;;;;P;P;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;;0,72;;;;;0,75;0,61;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;;0,72;;;;;0,75;0,61;;;;;;;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;;0,72;;;;;0,75;0,61;;;;;;;;13;10,36;5,419;10,28;8,84;0,653754
GS.4.2;No;;H.4.2;X;X;X;P;X;X;;P;P;P;;;;;;;P;P;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;0,76;0,76;0,76;;;;;;;0,75;0,61;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;0,74;0,74;0,74;;;;;;;0,75;0,61;;;;;;;;0,78;0,78;0,78;0,78;0,80;0,89;;0,49;0,49;0,49;;;;;;;0,75;0,61;;;;;;;;11;8,87;4,505;8,82;7,63;0,584415
GS.4.3;No;;H.4.3;X;X;X;P;;X;P;P;P;P;;P;;;;;P;P;;;;;;;;0,89;0,89;0,89;0,89;;0,89;0,76;0,76;0,76;0,76;;0,72;;;;;0,75;0,61;;;;;;;;0,89;0,89;0,89;0,89;;0,89;0,74;0,74;0,74;0,74;;0,72;;;;;0,75;0,61;;;;;;;;0,78;0,78;0,78;0,78;;0,89;0,49;0,49;0,49;0,49;;0,72;;;;;0,75;0,61;;;;;;;;12;9,56;4,619;9,48;8,04;0,604980
