#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Prec. Micro AveP
M2.2.1;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;;;;;;1;0,61;0,606;0,61;0,61;0,51
M2.2.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;;;;;;1;0,61;0,606;0,61;0,61;0,51
M2.2.4;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;;;;;;1;0,61;0,606;0,61;0,61;0,51
M2.2.5;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;;;;;;1;0,61;0,606;0,61;0,61;0,51
G0.2.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,62;;;;;;;1;0,85;0,855;0,84;0,68;0,62
G0_iii.2.3;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;1;0,85;0,855;0,84;0,68;0,61
GS.3.1;No;;H.3.1;P;P;P;P;P;P;P;X;X;P;P;P;P;;P;P;P;P;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;0,52;0,58;0,61;;0,61;0,61;0,58;0,51;0,62;0,62;0,61;0,61;0,51;0,54;;23;17,84;11,418;17,70;15,10;14,55
GS.3.2;No;;H.3.2;X;X;P;P;P;;;;;;X;X;;;;;;;;;;X;P;;;0,89;0,89;0,89;0,89;0,80;;;;;;0,75;0,72;;;;;;;;;;0,85;0,60;;;0,89;0,89;0,89;0,89;0,80;;;;;;0,75;0,72;;;;;;;;;;0,84;0,60;;;0,78;0,78;0,78;0,78;0,80;;;;;;0,75;0,72;;;;;;;;;;0,68;0,60;;;0,81;0,81;0,81;0,81;0,57;;;;;;0,52;0,58;;;;;;;;;;0,61;0,51;;;9;7,28;4,616;7,27;6,65;6,00
GS.3.3;No;;H.3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,00
GS.3.4;No;;H.3.4;;X;;;;;X;X;X;P;;;;;;;;;X;X;;P;;;;;0,89;;;;;0,76;0,76;0,76;0,76;;;;;;;;;0,85;0,85;;0,85;;;;;0,89;;;;;0,74;0,74;0,74;0,74;;;;;;;;;0,84;0,84;;0,84;;;;;0,78;;;;;0,49;0,49;0,49;0,49;;;;;;;;;0,68;0,68;;0,68;;;;;0,81;;;;;0,65;0,65;0,65;0,65;;;;;;;;;0,62;0,62;;0,61;;;;8;6,49;3,545;6,38;4,77;5,25
GS.3.5;No;;H.3.5;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;0,80;;;;;;;;;;;;;;;;;;;;;0,81;0,81;0,81;0,81;0,57;;;;;;;;;;;;;;;;;;;;;5;4,35;1,687;4,35;3,90;3,79
GS.3.6;No;;;;;;;X;;X;;;;X;X;;;;;X;;;;X;;X;X;;;;;;0,80;;0,76;;;;0,75;0,72;;;;;0,75;;;;0,85;;0,60;0,74;;;;;;0,80;;0,74;;;;0,75;0,72;;;;;0,75;;;;0,84;;0,60;0,74;;;;;;0,80;;0,49;;;;0,75;0,72;;;;;0,75;;;;0,68;;0,60;0,74;;;;;;0,57;;0,65;;;;0,52;0,58;;;;;0,58;;;;0,61;;0,51;0,54;;8;5,97;5,405;5,94;5,53;4,55
GS.3.8;No;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,58;;;;;;;;;1;0,75;0,750;0,75;0,75;0,58
"L0.3.3; L0_ii.3.2; L1.3.2; Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1; Q1.3.7; Q2.3.1; M0_ii.3.1; M0_iii.3.1";Yes;Scope misalignment;;X;X;;;X;;;X;X;X;X;X;;X;X;;;;;;;;;;;0,89;0,89;;;0,80;;;0,76;0,76;0,76;0,75;0,72;;0,66;0,66;;;;;;;;;;;0,89;0,89;;;0,80;;;0,74;0,74;0,74;0,75;0,72;;0,65;0,65;;;;;;;;;;;0,78;0,78;;;0,80;;;0,49;0,49;0,49;0,75;0,72;;0,49;0,49;;;;;;;;;;;0,81;0,81;;;0,57;;;0,65;0,65;0,65;0,52;0,58;;0,61;0,61;;;;;;;;;;;10;7,64;3,616;7,58;6,28;6,44
