#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Prec. Micro AveP
GS.7.2;No;;H.7.2;;X;X;X;X;X;;;;;;X;P;;;P;P;P;X;X;X;X;;;;;0,89;0,89;0,89;0,80;0,89;;;;;;0,72;0,66;;;0,66;0,75;0,61;0,85;0,85;0,85;0,85;;;;;0,89;0,89;0,89;0,80;0,89;;;;;;0,72;0,65;;;0,65;0,75;0,61;0,84;0,84;0,84;0,84;;;;;0,78;0,78;0,78;0,80;0,89;;;;;;0,72;0,49;;;0,49;0,75;0,61;0,68;0,68;0,68;0,68;;;;;0,81;0,81;0,81;0,57;0,64;;;;;;0,58;0,61;;;0,61;0,58;0,51;0,62;0,62;0,61;0,61;;;;14;11,17;8,186;11,11;9,78;8,98
GS.7.3;No;;H.7.3;;;X;X;;X;X;X;X;X;;;;;;;X;;X;;X;X;;;;;;0,89;0,89;;0,89;0,76;0,76;0,76;0,76;;;;;;;0,75;;0,85;;0,85;0,85;;;;;;0,89;0,89;;0,89;0,74;0,74;0,74;0,74;;;;;;;0,75;;0,84;;0,84;0,84;;;;;;0,78;0,78;;0,89;0,49;0,49;0,49;0,49;;;;;;;0,75;;0,68;;0,68;0,68;;;;;;0,81;0,81;;0,64;0,65;0,65;0,65;0,65;;;;;;;0,58;;0,62;;0,61;0,61;;;;11;9,02;5,409;8,91;7,19;7,27
GS.7.4;No;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;;;0,78;;;;;;;;;;;;;;;;;;;;;;0,81;;;0,81;;;;;;;;;;;;;;;;;;;;;;2;1,77;0,443;1,77;1,55;1,61
GS.7.5;No;;;X;;;;;X;;;;;;;X;X;;;X;X;;;;;;;;0,89;;;;;0,89;;;;;;;0,66;0,66;;;0,75;0,61;;;;;;;;0,89;;;;;0,89;;;;;;;0,65;0,65;;;0,75;0,61;;;;;;;;0,78;;;;;0,89;;;;;;;0,49;0,49;;;0,75;0,61;;;;;;;;0,81;;;;;0,64;;;;;;;0,61;0,61;;;0,58;0,51;;;;;;;;6;4,45;2,800;4,44;4,01;3,76
GS.7.6;No;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;0,81;;0,81;0,81;;;;;;;;;;;;;;;;;;;;;;3;2,66;0,665;2,66;2,33;2,42
GS.7.7;No;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,57;;;;;;;;;;;;;;;;;;;;;1;0,80;0,800;0,80;0,80;0,57
GS.7.8;No;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,57;;;;;;;;;;;;;;;;;;;;;1;0,80;0,800;0,80;0,80;0,57
GS.7.9;No;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
GS.7.10;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,00
GS.7.11;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,00
L0_ii.7.2;Yes;Template drift;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
L0_iii.7.2;Yes;Contextual misfit;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
"L0_iii.7.5; M0_ii.7.4";Yes;Contextual misfit;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;0,89;;;;;;;;;;;0,66;;;;;;;;;;;;;;0,89;;;;;;;;;;;0,65;;;;;;;;;;;;;;0,78;;;;;;;;;;;0,49;;;;;;;;;;;;;;0,81;;;;;;;;;;;0,61;;;;;;;;;;;;2;1,54;0,386;1,54;1,27;1,41
"L0_iii.7.8; Q0_iii.7.4";Yes;Template drift;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;0,89;;;;;;0,76;;;;;;;;;;;;;;;;;;;0,89;;;;;;0,74;;;;;;;;;;;;;;;;;;;0,78;;;;;;0,49;;;;;;;;;;;;;;;;;;;0,81;;;;;;0,65;;;;;;;;;;;;;;;;;2;1,65;0,411;1,63;1,27;1,45
Q0_iii.7.2;Yes;Contextual misfit;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
M0_ii.7.1;Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M0_ii.7.5;Yes;Contextual misfit;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M0_iv.7.3;Yes;Contextual misfit;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M0_iv.7.5;Yes;Contextual misfit;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
GS.8.1;No;;H.8.1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;0,52;0,58;0,61;0,61;0,61;0,61;0,58;0,51;0,62;0,62;0,61;0,61;0,51;0,54;;24;18,49;11,582;18,36;15,59;15,16
GS.8.2;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;0,81;0,81;0,81;0,81;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;3,22
GS.8.3;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,00
L0_iii.8.5;Yes;Template drift;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
"M0_ii.8.2; M0_iii.8.1";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,66;0,66;;;;;;;;;;;;;;;;;;;;;;;;0,65;0,65;;;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;;;;;;;;;;;;;;;;;;;;;;;;0,61;0,61;;;;;;;;;;;2;1,32;0,329;1,31;0,98;1,22
"M0_ii.8.3; M1.8.2; M2.8.3";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;0,66;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,65;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,49;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,61;;;0,58;0,51;;;;;;;;3;2,01;1,521;2,01;1,85;1,70
"M0_ii.8.4; M1.8.3; M2.8.4";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;0,66;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,65;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,49;;;0,75;0,61;;;;;;;;;;;;;;;;;;;;;0,61;;;0,58;0,51;;;;;;;;3;2,01;1,521;2,01;1,85;1,70
"M0_ii.8.5; M1.8.4";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,66;;;0,75;;;;;;;;;;;;;;;;;;;;;;0,65;;;0,75;;;;;;;;;;;;;;;;;;;;;;0,49;;;0,75;;;;;;;;;;;;;;;;;;;;;;0,61;;;0,58;;;;;;;;;2;1,41;0,915;1,40;1,24;1,19
M0_iii.8.3;Yes;Template drift;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M0_iv.8.1;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M0_iv.8.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M2.8.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;;;;;;1;0,61;0,606;0,61;0,61;0,51
M2.8.5;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;;;;;;1;0,61;0,606;0,61;0,61;0,51
GS.9.1;No;;H.9.1;X;X;X;X;X;X;X;X;X;X;P;;X;X;P;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;0,52;;0,61;0,61;0,61;0,61;0,58;0,51;0,62;0,62;0,61;0,61;0,51;0,54;;23;17,77;10,858;17,63;14,87;14,58
GS.9.2;No;;H.9.2;X;X;X;X;;;X;;;;;;P;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;0,76;;;;;;0,66;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;0,74;;;;;;0,65;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;0,49;;;;;;0,49;;;;;;;;;;;;;0,81;0,81;0,81;0,81;;;0,65;;;;;;0,61;;;;;;;;;;;;;6;4,96;1,241;4,94;4,09;4,48
GS.9.3;No;;H.9.3;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;;0,65;0,65;0,65;0,65;0,52;0,58;0,61;0,61;0,61;0,61;0,58;0,51;0,62;0,62;0,61;0,61;0,51;0,54;;23;17,60;10,690;17,46;14,70;14,52
GS.9.4;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;0,81;0,81;0,81;0,81;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;3,22
GS.9.5;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,64;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,64
GS.9.6;No;;;;;;;;;;;;;;X;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;0,72;;;;;;0,61;0,85;0,85;0,85;0,85;;;;;;;;;;;;;;;0,72;;;;;;0,61;0,84;0,84;0,84;0,84;;;;;;;;;;;;;;;0,72;;;;;;0,61;0,68;0,68;0,68;0,68;;;;;;;;;;;;;;;0,58;;;;;;0,51;0,62;0,62;0,61;0,61;;;;6;4,75;4,749;4,70;4,03;3,55
GS.9.7;No;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,58;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,58
GS.9.8;No;;;;X;X;;;;;;;;;;;;;;;;X;;;;;;;;0,89;0,89;;;;;;;;;;;;;;;;0,85;;;;;;;;0,89;0,89;;;;;;;;;;;;;;;;0,84;;;;;;;;0,78;0,78;;;;;;;;;;;;;;;;0,68;;;;;;;;0,81;0,81;;;;;;;;;;;;;;;;0,62;;;;;;;3;2,63;1,298;2,62;2,23;2,24
Q0.9.4;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_ii.9.4;Yes;Template drift;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q2.9.2;Yes;Architectural infeasibility;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,58;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,58
Q2.9.6;Yes;Architectural infeasibility;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,58;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,58
G1.9.3;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;1;0,60;0,600;0,60;0,60;0,51
G2.9.4;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,54;;1;0,74;0,737;0,74;0,74;0,54
GS.10.1;No;;H.10.1;;;;;X;P;;X;X;X;;;X;X;X;X;X;X;;X;;X;;X;;;;;;0,80;0,89;;0,76;0,76;0,76;;;0,66;0,66;0,66;0,66;0,75;0,61;;0,85;;0,85;;0,74;;;;;;0,80;0,89;;0,74;0,74;0,74;;;0,65;0,65;0,65;0,65;0,75;0,61;;0,84;;0,84;;0,74;;;;;;0,80;0,89;;0,49;0,49;0,49;;;0,49;0,49;0,49;0,49;0,75;0,61;;0,68;;0,68;;0,74;;;;;;0,57;0,64;;0,65;0,65;0,65;;;0,61;0,61;0,61;0,61;0,58;0,51;;0,62;;0,61;;0,54;;14;10,40;6,722;10,31;8,57;8,45
GS.10.2;No;;H.10.2;X;P;X;X;X;;;;;;;X;X;X;X;;;X;P;P;P;P;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;0,72;0,66;0,66;0,66;;;0,61;0,85;0,85;0,85;0,85;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;0,72;0,65;0,65;0,65;;;0,61;0,84;0,84;0,84;0,84;;;;0,78;0,78;0,78;0,78;0,80;;;;;;;0,72;0,49;0,49;0,49;;;0,61;0,68;0,68;0,68;0,68;;;;0,81;0,81;0,81;0,81;0,57;;;;;;;0,58;0,61;0,61;0,61;;;0,51;0,62;0,62;0,61;0,61;;;;14;11,07;6,929;11,01;9,41;9,17
GS.10.3;No;;H.10.3;X;;;X;;X;X;;;;X;X;P;P;;;;;X;;;X;X;X;;0,89;;;0,89;;0,89;0,76;;;;0,75;0,72;0,66;0,66;;;;;0,85;;;0,85;0,60;0,74;;0,89;;;0,89;;0,89;0,74;;;;0,75;0,72;0,65;0,65;;;;;0,84;;;0,84;0,60;0,74;;0,78;;;0,78;;0,89;0,49;;;;0,75;0,72;0,49;0,49;;;;;0,68;;;0,68;0,60;0,74;;0,81;;;0,81;;0,64;0,65;;;;0,52;0,58;0,61;0,61;;;;;0,62;;;0,61;0,51;0,54;;12;9,26;6,375;9,21;8,08;7,49
GS.10.4;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
GS.10.5;No;;;;X;X;X;;X;;;;;X;;;;;;;;X;X;X;X;;;;;0,89;0,89;0,89;;0,89;;;;;0,75;;;;;;;;0,85;0,85;0,85;0,85;;;;;0,89;0,89;0,89;;0,89;;;;;0,75;;;;;;;;0,84;0,84;0,84;0,84;;;;;0,78;0,78;0,78;;0,89;;;;;0,75;;;;;;;;0,68;0,68;0,68;0,68;;;;;0,81;0,81;0,81;;0,64;;;;;0,52;;;;;;;;0,62;0,62;0,61;0,61;;;;9;7,72;5,727;7,67;6,67;6,05
GS.10.6;No;;;;;X;;;X;;;;;;;X;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;0,66;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;0,65;;;;;;;;;;;;;;;0,78;;;0,89;;;;;;;0,49;;;;;;;;;;;;;;;0,81;;;0,64;;;;;;;0,61;;;;;;;;;;;;;3;2,44;1,279;2,43;2,16;2,05
GS.10.7;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,64;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,64
GS.10.8;No;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,58;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,58
GS.10.9;No;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
GS.10.10;No;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
GS.10.11;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;0,81;0,81;0,81;0,81;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;3,22
"L0_iv.10.4; G0.10.1; G0_iii.10.3; G0_iv.10.2; G2.10.1";Yes;Architectural infeasibility;;;;;X;;;;;;;;;;;;;;;X;;X;X;;X;;;;;0,89;;;;;;;;;;;;;;;0,85;;0,85;0,85;;0,74;;;;;0,89;;;;;;;;;;;;;;;0,84;;0,84;0,84;;0,74;;;;;0,78;;;;;;;;;;;;;;;0,68;;0,68;0,68;;0,74;;;;;0,81;;;;;;;;;;;;;;;0,62;;0,61;0,61;;0,54;;5;4,19;3,523;4,15;3,54;3,19
L0_iv.10.5;Yes;Template drift;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
L1.10.2;Yes;Template drift;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,57;;;;;;;;;;;;;;;;;;;;;1;0,80;0,800;0,80;0,80;0,57
L2.10.2;Yes;Template drift;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,64;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,64
